"Ministry","City/country","Name","Address","Latitude","Longitude"
"Ministry of Finance","Taipei City","Sungshan Branch of Land Bank","1F., No.1, Sec. 1, Dunhua S. Rd., Songshan District, Taipei City 10557, Taiwan (R.O.C.)","25.047677","121.549351"
"Ministry of Finance","Taipei City","Chunglun Branch of Land Bank","1F., No.26, Dongsing Rd., Songshan District, Taipei City 10565, Taiwan (R.O.C.)","25.048607","121.565198"
"Ministry of Transportation and Communications","Taipei City","Songshan station","No.11, Songshan Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.0495143","121.5789138"
"Ministry of Transportation and Communications","Taipei City","Songshan station Platform2(car10)","No.11, Songshan Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.0495143","121.5789138"
"Ministry of Transportation and Communications","Taipei City","Songshan station Platform2(car3)","No.11, Songshan Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.0495143","121.5789138"
"Ministry of Transportation and Communications","Taipei City","Songshan station Ticket Gate","No.11, Songshan Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.0495143","121.5789138"
"Ministry of Transportation and Communications","Taipei City","Taipei Rongsing Post Office","No.124-1, Sec. 3, Mincyuan E. Rd., Songshan Dist., Taipei 105-43, Taiwan (R.O.C.)","25.061876","121.545755"
"Financial Supervisory Commission, R.O.C.","Taipei City","The SHANGHAI COMMERCIAL & SAVINGS BANK, LTD.Dun Pei Branch","No.142, Min Chuan E. Rd., Sec. 3, Taipei City, Taiwan (R.O.C.)","25.061739","121.546874"
"Ministry of Finance","Taipei City","Mega International Commercial Bankd Co.,Ltd. Ming Sheng Branch","No.128, Sec.3, Ming-sheng E. Rd., Taipei City 10596, Taiwan (R.O.C.)","25.057516","121.546042"
"Ministry of Finance","Taipei City","FirstBank_Minsheng","No.131, Sec. 3, Minsheng E. Rd., Songshan Dist., Taipei City 105, Taiwan (R.O.C.)","25.057942","121.547821"
"Ministry of Finance","Taipei City","Fuhsin Branch of Land Bank","1F., No.132, Sec. 3, Minsheng E. Rd., Songshan District, Taipei City 10596, Taiwan (R.O.C.)","25.057504","121.546522"
"Ministry of Transportation and Communications","Taipei City","Taipei Yanshou Post Office","No.12, Sec. 5, Minsheng E. Rd., Songshan Dist., Taipei 105-72, Taiwan (R.O.C.)","25.058151","121.555969"
"Financial Supervisory Commission, R.O.C.","Taipei City","The SHANGHAI COMMERCIAL & SAVINGS BANK, LTD.San Ming Branch","No.141, Min Sheng E. Rd., Sec. 5, Taipei City, Taiwan (R.O.C.)","25.059072","121.56182"
"Ministry of Finance","Taipei City","Jui Hsiang Branch, Hua Nan commercial Bank","No.145, Sec.5, Ming Shen East Rd., Taipei City, Taiwan (R.O.C.)","25.059458","121.562026"
"Ministry of Transportation and Communications","Taipei City","Taipei Minsheng Post Office","No.191, Sec. 5, Minsheng E. Rd., Songshan Dist., Taipei 105-66, Taiwan (R.O.C.)","25.059196","121.565474"
"Ministry of Finance","Taipei City","Mega International Commercial Bankd Co.,Ltd. East Taipei Branch","No.52, Sec.4, Min-sheng E. Rd., Taipei City 10574, Taiwan (R.O.C.)","25.057776","121.551141"
"Ministry of Finance","Taipei City","Chang Hwa Bank,Min-Sheng Branch","No.54-1, Sec. 4, Minsheng E. Rd., Songshan Dist., Taipei City 10574, Taiwan (R.O.C.)","25.057723","121.551098"
"Ministry of Transportation and Communications","Taipei City","Taipei Taisu Post Office","No.54, Sec. 4, Minsheng E. Rd., Songshan Dist., Taipei 105-74, Taiwan (R.O.C.)","25.05765","121.551082"
"Ministry of Finance","Taipei City","Ming Shen Branch, Hua Nan commercial Bank","No.54, Sec.4, Ming Shen East Rd., Taipei City, Taiwan (R.O.C.)","25.057779","121.551012"
"Ministry of Finance","Taipei City","Nanmen Branch, Hua Nan Commercial Bank","No.11, Sec.2, Roosevelt Rd., Taipei City, Taiwan (R.O.C.)","25.028664","121.521578"
"Ministry of Finance","Taipei City","Chang Hwa Bank,Chien-Kuo Branch","No.136, Sec. 3, Ren_ ai Rd., Da_ an Dist., Taipei City 10657, Taiwan (R.O.C.)","25.037629","121.541655"
"Ministry of Finance","Taipei City","Jenai Branch of Land Bank","1F., No.29, Sec. 3, Ren-ai Rd., Da-an District, Taipei City 10651, Taiwan (R.O.C.)","25.0385782","121.5346993"
"Ministry of Transportation and Communications","Taipei City","Taipei Ren-ai Rd. Post Office","No.47, Sec. 3, Ren-ai Rd., Da-an Dist., Taipei 106-51, Taiwan (R.O.C.)","25.0385284","121.5356224"
"Ministry of Finance","Taipei City","Jen Ai Road Branch, Hua Nan Commercial Bank","No.25, Sec.4, Jen Ai Rd., Taipei City, Taiwan (R.O.C.)","25.115445","121.552734"
"Ministry of Health and Welfare","Taipei City","Cathay General Hospital, Taipei General Hospital- (II School District) RF","No.266, Sec. 4, Ren_ai Rd., Da_an Dist., Taipei City 106, Taiwan (R.O.C.)","25.037693","121.552812"
"Ministry of Health and Welfare","Taipei City","Cathay General Hospital, Taipei General Hospital 1F - 4","1F., No.280, Sec. 4, Ren_ai Rd., Da_an Dist., Taipei City 106, Taiwan (R.O.C.)","25.036783","121.553757"
"Ministry of Health and Welfare","Taipei City","Cathay General Hospital, Taipei General Hospital 1F - 2","1F., No.280, Sec. 4, Ren_ai Rd., Da_an Dist., Taipei City 106, Taiwan (R.O.C.)","25.036783","121.553757"
